NAME,rwater,TOWN,BASIN,GSI,SIC,Municipalities,samp_location,samp_date,storm_mag,storm_dur,prev_storm,rain_ph,days_last_storm,o_n_g,samp_ph,cod,tss,tp,tkn,no3,fec_coli,tot_copper,tot_zinc,tot_lead,24_hr_lc50,48_hr_lc50,hardness
ABB Combustion Engin.,Head waters to Goodwin pond,164,,694,8731,N,1,9/22/96,0.4,8,9/18/96,7,4,1.4,4.5,240,110,0.09,3.4,1.2,8,0.036,0.23,0.007,1,0.53,
ABB Combustion Engin.,Great Pond,164,,694,8731,N,2,9/28/96,0.58,8,9/25/96,6,3,1,5.4,13,5,0.02,0.31,0.2,"1,100",0.014,0.14,0.019,0.71,0.71,
Abbott Ball,Tenmile Brook,155,,1079,3562,N,Outfall 001,10/8/96,2.36,44.5,10/1/96,6,7,5,7.2,5,36,0.09,0.41,0.3,120,0.03,0.16,0.03,1,1,
ABF Freight,Horse Brook,109,,482,4213,Y,,11/26/96,,,11/9/96,,17,4.6,5.99,16,13,0.13,1.6,0.2,10,0.006,0.071,0.005,1,1,
Accesory Controls & Equipment,Mill Brook,164,,400,3585,N,NW Corner,11/26/96,2.16,6,,5.63,,5.3,6.72,686,400,0.49,1.7,0.3,100,0.118,0.607,0.05,1,1,
Accurate Forging Corp,Pequabuck River,17,,602,3463,N,Parking lot- SW,9/28/96,0.86,9,9/25/96,6.5,3,2,5.71,41,28,0.1,1.61,1.1,1,0.185,0.4,0.006,0.06,0.06,
Accurate Forging Corp,Pequabuck River,17,,602,3463,N,Roof Catch Basin,9/28/96,0.86,9,9/25/96,6.5,3,2,6.09,20,25,0.14,0.86,0.7,0,0.128,2.76,0.022,0.18,0.13,
Acme Electro-Plating Co,Stamford Harbor,135,,213,3471,Y,OF-1,9/17/96,1.75,4,9/13/96,6.59,4,1,6.04,15,7,0.17,0.7,0.9,2,0.015,0.12,0.02,1,1,
Acme Packaging Corp,Piper Brook,89,,528,3499,N,#1,7/26/96,1,4,7/24/96,6.4,2,1.9,6.1,5,30,0.09,1.12,2,"10,000",0.01,0.06,0.005,1,1,
Acme Packaging Corp.,Piper Brook,89,,528,3499,N,#2,7/26/96,1,4,7/24/96,6.4,2,2.1,5.3,5,4,0.11,0.98,0.8,"10,000",0.01,0.04,0.005,1,0.89,
Acme Packaging Corp.,Piper Brook,89,,528,3499,N,#3,7/26/96,1,4,7/24/96,6.4,2,1.7,6.2,5,8,0.08,0.98,1.3,"10,000",0.01,0.04,0.005,1,0.86,
Acme-Monaco Corp.,trib to Quinnipiac River,89,,255,3495,N,North side Bldg,10/8/96,2.3,12,,6.4,,5,6.1,46,20,0.15,1,0.6,"5,500",0.05,0.093,0.005,1,1,
Aero Gear Inc,,164,,NLD,3728,N,Basin #3,11/19/96,0.2,5,11/9/96,4.3,10,1,4.3,30,6,0.19,1.68,3.8,80,0.01,0.22,0.005,0.71,0.71,
Aerospace Metals,Park River,64,,683,5093,N,7,10/28/95,0.93,,10/21/95,,7,5,6.8,14,12,0.15,0.47,0.1,200,0.02,0.22,0.01,1,0.29,
Aerospace Metals,Park River,64,,683,5093,N,4,10/28/95,0.93,,10/21/95,,7,9,7.4,58,31,0.05,1.26,0.2,600,0.18,0.24,0.03,1,1,
Aerospace Metals,Park River,64,,683,5093,N,2,10/28/95,0.93,,10/21/95,,7,1,5.8,1,4,0.02,0.09,0.1,70,0.02,0.04,0.01,0.87,0.55,
Aerospace Metals,Park River,64,,683,5093,N,1,10/28/95,0.93,,10/21/95,,7,11,6.7,39,12,0.04,0.47,0.1,"1,300",0.02,0.07,0.01,0.66,0.55,
Aerospace Metals Inc,Park River,64,,683,5093,N,Outfall 002,4/29/96,1.48,,4/24/96,4.8,5,5,4.8,49,27,0.06,2.3,1,100,0.11,0.25,0.03,0.5,0.18,
Aerospace Metals Inc,Park River,64,,683,5093,N,Outfall 001,4/29/96,1.48,,4/24/96,4.8,5,20,7,127,56,0.15,2.7,0.9,100,0.12,0.37,0.08,1,0.62,
Aerospace Metals Inc,Park River,64,,683,5093,N,Outfall 004,4/29/96,1.48,,4/24/96,4.8,5,5,7,29,40,0.13,0.98,0.9,100,0.05,0.28,0.03,1,1,
AES Thames Inc.,Thames River,86,,805,4911,N ,003 #4 Drain Pipe,10/14/95,0.65,10,10/6/95,7,8,1,7.9,10,9,0.19,0.32,0.3,"8,000",0.01,0.21,0.013,1,1,
