Town,1995 - 2000,2001 - 2005,2006 - 2010,2010 - 2014
Ansonia,1,0,0,1
Barkhamsted,1,0,0,0
Berlin,1,1,1,1
Bethany,0,1,0,0
Bolton,1,0,0,0
Bozrah,1,0,0,0
Branford,1,1,1,0
Bridgeport,1,1,1,1
Bristol,0,1,1,1
Brookfield,1,0,1,0
Canterbury,1,1,0,1
Canton,0,1,0,0
Chaplin,0,1,1,0
Cheshire,1,0,0,0
Clinton,1,1,0,1
Colchester,1,0,0,1
Columbia,1,1,1,0
Coventry,0,1,1,0
Cromwell,0,1,0,0
Danbury,1,1,0,0
Darien,1,1,1,1
Deep River,0,1,0,0
Derby,1,0,1,0
Durham,1,0,0,0
East Granby,1,0,0,0
East Hampton,0,0,1,0
East Hartford,0,1,1,0
East Haven,0,1,0,0
East Lyme,1,1,1,1
East Windsor,1,1,1,0
Ellington,0,1,0,0
Enfield,1,0,0,1
Essex,1,1,1,1
Fairfield,1,1,1,1
Farmington,1,0,0,0
Franklin,1,1,1,1
Glastonbury,1,0,0,0
Goshen,0,1,0,0
Greenwich,1,1,0,0
Griswold,1,0,1,0
Groton,1,1,1,1
Guilford,1,1,0,1
Haddam,0,1,0,0
Hamden,1,0,0,0
Hampton,1,0,0,0
Hartford,1,1,1,1
Hartland,0,0,0,1
Harwinton,0,1,0,0
Kent,0,0,1,0
Killingly,0,0,0,1
Ledyard,1,0,0,0
Lisbon,1,1,0,0
Lyme,0,1,1,0
Madison,1,0,1,0
Manchester,1,0,0,0
Mansfield,0,1,0,0
Marlborough,1,0,0,0
Meriden,1,1,1,0
Middlefield,1,1,1,0
Middletown,1,1,1,0
Milford,1,1,1,1
Montville,1,1,1,1
Morris,0,0,1,0
Naugatuck,0,1,1,1
New Britain,1,0,0,0
New Canaan,0,1,0,0
New Hartford,0,0,0,1
New Haven,1,1,1,1
New London,1,1,1,1
New Milford,1,1,0,0
Newington,1,1,0,0
Newtown,1,0,0,1
North Branford,0,1,1,1
North Canaan,0,1,0,0
North Haven,0,0,0,1
North Stonington,0,1,0,0
Norwalk,1,1,1,1
Norwich,1,1,1,1
Old Saybrook,1,1,0,1
Orange,0,0,0,1
Oxford,0,1,1,0
Plainfield,1,0,0,1
Plainville,0,1,1,0
Plymouth,0,1,1,0
Portland,0,1,1,0
Preston,1,1,1,1
Prospect,1,1,1,0
Putnam,1,0,0,0
Rocky Hill,1,1,1,0
Salem,0,1,0,0
Salisbury,0,0,1,1
Seymour,1,0,0,1
Shelton,1,1,1,0
Simsbury,0,0,1,1
Somers,1,0,1,1
South Windsor,0,1,1,0
Southington,1,1,0,0
Sprague,1,0,0,0
Stafford,0,1,1,1
Stamford,1,1,1,1
Stonington,1,1,1,1
Stratford,1,1,1,1
Suffield,1,0,1,0
Thomaston,1,1,1,1
Thompson,0,1,0,0
Torrington,1,1,1,0
Trumbull,1,0,1,0
Vernon,1,1,0,1
Voluntown,1,0,0,0
Wallingford,1,1,1,0
Washington,1,0,0,0
Waterbury,1,1,0,1
Waterford,1,1,0,1
Watertown,1,0,1,1
West Hartford,1,1,0,1
West Haven,1,0,0,0
Westbrook,1,1,1,1
Westport,1,0,1,1
Wilton,1,0,0,0
Winchester,0,0,0,1
Windham,1,0,1,1
Windsor,1,0,0,0
Windsor Locks,1,0,0,0
Wolcott,1,1,1,0
Woodbridge,1,1,0,0
Woodbury,0,1,1,0
Woodstock,1,1,0,0
