Sector,name,site_name,town,rwater,Basin,GSI,SIC,Impaired,samp_location,samp_date,prev_storm,days_last_storm,ice,o_n_g,rain_ph,samp_ph,cod,tss,tp,tkn,no3,tot_copper,tot_zinc,tot_lead,24_hr_lc50,48_hr_lc50,hardness,conduct,per_sur
I,Adam Wronowski,"Thames Shipyard & Repair Co., Inc.",095,Thames River,,001418,3731,N,Dry Dock #1,03/28/12,03/25/12,3,N,2.5,5.64,7.8,939,29,0.01,1.15,6.51,0.244,0.85,0.002,6.25%,6.25%,3767,36700,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,NWW-2,06/13/12,06/06/12,7,N,3.5,5.69,6.95,37,46.8,0.29,1.62,0.33,0.063,0.206,0.021,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,NWW-6,06/13/12,06/06/12,7,N,1.3,5.69,8.2,44,38.8,0.07,2.34,0.13,0.037,0.066,0.0025,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,NWW-11,06/13/12,06/06/12,7,N,1.2,5.69,8.48,28,65.6,0.005,1.17,0.11,0.051,0.097,0.009,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-4,06/13/12,06/06/12,7,N,0.25,5.69,7.06,7,7,0.1,2.44,0.2,0.012,0.19,0.0025,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-10,06/13/12,06/06/12,7,N,0.25,5.69,6.88,33,36.4,0.03,2.99,0.18,0.039,0.142,0.017,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-14,06/13/12,06/06/12,7,N,0.6,5.69,6.81,111,18,0.93,9.73,1.49,0.145,0.323,0.008,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-19,06/13/12,06/06/12,7,N,0.25,5.69,6.91,22,12.4,0.16,4.49,0.38,0.041,0.071,0.0025,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-25,06/13/12,06/06/12,7,N,0.8,5.69,7.06,40,15.2,0.82,9.34,0.62,0.016,0.313,0.0025,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-29,06/13/12,06/06/12,7,N,0.25,5.69,6.99,27,16.8,0.05,2.54,1.1,0.025,0.098,0.0025,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SWW-1,06/13/12,06/06/12,7,N,0.25,5.69,6.85,27,6.8,0.1,1.5,0.64,0.027,0.78,0.0025,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SWW-6,06/13/12,06/06/12,7,N,0.6,5.69,7.09,23,3.2,0.005,0.1,0.13,0.015,0.124,0.0025,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SWW-12,06/13/12,06/06/12,7,N,0.5,5.69,7.13,28,2.8,0.06,1.04,0.16,0.031,0.196,0.0025,,,,,
I,Hillard Bloom Shellfish,Bridgeport Drydock Corporation,015,Long Island Sound Bridgeport Coastal Area,,001043,3731,N,SF-1 (Sheetflow),09/28/12,09/27/12,1,N,0.7,6.27,6.37,27,7.5,0.01,1.34,0.93,0.032,0.086,0.006,,,,,
I,Hillard Bloom Shellfish,Bridgeport Drydock Corporation,015,Long Island Sound Bridgeport Coastal Area,,001043,3731,N,DD-1 (Drydock),09/28/12,09/27/12,1,N,0.7,6.27,6.84,25,7.5,0.005,1.32,0.93,0.031,0.085,0.005,,,,,
I,"Buchanan Marine, LP","Buchanan Marine, LP",093,Quinnipiac River ,,002392,4492,N,SF-1,06/25/12,06/23/12,2,N,1.4,7.54,6.31,98,140,0.25,1.38,0.34,0.036,0.211,0.042,,,,,
I,Norwalk Cove Marina Inc,Norwalk Cove Marina Inc,103,,,000319,,N,Next to flagpole,06/25/12,,,N,0.5,5.04,4.47,18.6,55,0.094,0.653,0.23,1.89,0.403,0.066,6.25%,6.25%,4,18,
I,"Buchanan Marine, LP","Buchanan Marine, LP",093,Quinnipiac River ,,000570,4492,N,SF-1,06/25/12,06/23/12,2,N,0.8,7.54,6.79,98,250,0.28,2.32,0.85,0.036,0.283,0.031,,,,,
I,"Buchanan Marine, LP","Buchanan Marine, LP",093,Quinnipiac River ,,000570,4492,N,SF-1,03/28/12,03/25/12,3,N,2.5,,7.42,111,184,0.22,2.29,0.77,0.031,0.22,0.025,100.00%,100.00%,30.2,56,
I,"Buchanan Marine, LP","Buchanan Marine, LP",093,Quinnipiac River ,,002392,4492,N,SF-1,03/28/12,03/25/12,3,N,2.5,,3.81,47.4,59,0.05,1.93,0.72,0.02,0.14,0.014,35.40%,28.60%,7.65,115,
I,Hillard Bloom Shellfish,Bridgeport Drydock Corporation,015,Long Island Sound Bridgeport Coastal Area,,001043,3731,N,DD-1 (Drydock),05/01/12,04/26/12,5,N,3.2,6.84,6.59,5,2.5,0.02,0.61,0.1,0.022,0.044,0.004,79.40%,43.50%,2,10,
I,Hillard Bloom Shellfish,Bridgeport Drydock Corporation,015,Long Island Sound Bridgeport Coastal Area,,001043,3731,N,SF-1 (Sheetflow),05/01/12,04/26/12,5,N,2,6.84,6.31,5,8,0.01,0.64,0.44,0.011,0.025,0.004,100.00%,100.00%,4,8,
