Sector,name,site_name,town,rwater,Basin,GSI,SIC,Impaired,samp_location,samp_date,prev_storm,days_last_storm,ice,o_n_g,rain_ph,samp_ph,cod,tss,tp,tkn,no3,tot_copper,tot_zinc,tot_lead,24_hr_lc50,48_hr_lc50,hardness,conduct,per_sur,iron,mercury,alu,hydrocarbon
D,"Terryville Auto Parts, Inc.","Terryville Auto Parts, Inc.",111,Pequabuck River Farmington Regional Basin,,1684,5015,N,SW-2,11/10/11,10/29/11,12,N,0.5,5.23,4.8,1,0.5,0.025,0.38,0.1,0.005,0.05,0.01,73.70%,37.50%,10.3,74.1,0.00%,0.02,0.0001,0.29,10
D,CT Used Parts & Auto Wrecking,CT Used Parts & Auto Wrecking,151,"Naugatuck River, Naugatuck Regional Basin",,2249,5015,Y,SW-1,12/7/11,11/29/11,8,N,8,4.76,6.7,50,632,0.76,2.35,0.1,0.47,1.51,0.6,100.00%,100.00%,125,67.2,50.00%,34.91,0.001,36.03,5
D,Tom's Foreign Auto Parts,Tom's Foreign Auto Parts,151,"Naugatuck River, Naugatuck Regional Basin",,1126,5015,Y,SW-1,12/6/11,11/29/11,7,N,2.5,5,6.39,26.2,171,0.21,0.96,0.56,0.02,0.37,0.05,100.00%,74.90%,10.2,21,25.00%,2.95,0.0002,1.35,5
D,Parker St. Auto Parts,Parker St. Auto Parts,77,Hockanum River & Tankerhoosen River Drainage Basin,,984,5015,N,SW-1,11/10/11,10/30/11,11,N,0.7,6.35,6.54,28,26,0.18,0.91,0.025,0.014,0.061,0.025,100.00%,100.00%,2,13,100.00%,0.932,0.0002,0.762,
D,"S. Camerota & Sons, Inc.",Camerota Truck Parts,49,Freshwater Brook/CT Main Stem Regional Basin,,1062,5015,N,SW-1,11/23/11,11/16/11,7,N,0.7,,5.22,25,5,0.08,0.32,0.05,0.023,0.041,0.004,70.70%,66.20%,6,73,0.00%,0.997,0.0002,0.519,25
D,Ross Auto Parts,Ross Auto Parts,17,,,2284,5015,Y,SW-1,10/27/11,10/20/11,7,N,1.2,6.9,6.6,10,8.8,0.014,0.5,0.023,0.0025,0.015,0.0025,,,,,,0.2,0.0001,0.17,0.65
D,Petrillo's Used Auto Parts,Petrillo's Used Auto Parts,93,"Quinnipiac River, Quinnipiac Regional Basin",,2368,5015,N,SW-1,12/28/11,12/22/11,6,N,2.8,8.1,7.6,29,23,0.09,0.6,0.3,0.016,0.079,0.015,100.00%,100.00%,35,173,90.00%,1.26,0.0002,0.89,7
D,Petrillo's Used Auto Parts,Petrillo's Used Auto Parts,93,"Quinnipiac River, Quinnipiac Regional Basin",,2368,5015,N,SW-1,1/13/12,1/1/12,12,N,,,,,,,,,,,,,,,,,1.47,0.0002,0.93,
D,Kleeman's Auto Parts ,Kleeman's Auto Parts LLC,114,Unnamed Tributary to Shetucket River,,923,5015,N,Stream Near Route 165,12/7/11,,,N,1,6.04,6.62,14,1,0.02,0.07,0.31,0.02,1.01,0.016,70.70%,52.10%,16,56,0.00%,0.219,0.0001,0.274,
D,Kleeman's Auto Parts ,Kleeman's Auto Parts LLC,114,Unnamed Tributary to Shetucket River,,923,5015,,Stream Near Route 165,6/25/12,,,N,3.4,4.58,6.11,28,118,0.03,1.03,1.1,0.09,0.98,0.178,70.70%,39.20%,14,28,0.00%,1.4,0.0001,2.09,25
D,Reidville Used Auto Parts,Reidville Used Auto Parts,151,"Beaverpond Brook, Naugatuck Regional Basin",,1794,5015,N,SW-1,12/7/11,11/30/11,7,N,5.5,6.8,7.5,25,20,0.025,1.01,0.1,0.025,0.069,0.015,100.00%,100.00%,31,81,100.00%,1.45,0.0002,0.68,1
D,"Parker St. Used Auto Parts, Inc.","Parker St. Used Auto Parts, Inc.",77,Hockanum River & Tankerhoosen River Drainage Basin,,984,5015,N,SW-1,1/12/12,1/1/12,11,N,,,,,,,,,,,,,,,,,1.69,0.0001,1.2,5
D,"Parker St. Used Auto Parts, Inc.","Parker St. Used Auto Parts, Inc.",77,Hockanum River & Tankerhoosen River Drainage Basin,,984,5015,N,SW-1,5/1/12,4/22/12,9,N,0.75,6.86,6.35,5,55,0.11,0.77,0.11,0.018,0.088,0.017,,,,,,1.49,0.0001,1.1,5
D,"Parker St. Used Auto Parts, Inc.","Parker St. Used Auto Parts, Inc.",77,Hockanum River & Tankerhoosen River Drainage Basin,,984,5015,N,SW-1,8/10/12,8/5/12,5,N,,,,,,,,,,,,,,,,,10.5,0.0001,8.03,
D,Daddio's Auto Parts,Daddio's Auto Parts,124,"Naugatuck River, Naugatuck Regional Basin",,1010,5015,Y,SW-1,1/12/12,1/1/12,11,N,,,,,,,,,,,,,,,,,6.84,0.0001,3.78,
D,Daddio's Auto Parts,Daddio's Auto Parts,124,"Naugatuck River, Naugatuck Regional Basin",,1010,5015,Y,SW-1,3/28/12,3/25/12,3,N,2.9,6.9,7.34,120,390,0.39,1.83,0.25,0.252,0.849,0.739,100.00%,100.00%,50,173,100.00%,33.6,0.0001,14.5,10
D,Daddio's Auto Parts,Daddio's Auto Parts,124,"Naugatuck River, Naugatuck Regional Basin",,1010,5015,Y,SW-1,5/1/12,4/26/12,5,N,8.1,6.2,7.03,67,260,0.39,1.46,0.29,0.161,0.667,0.459,,,,,,23.9,0.0001,9.7,5
D,Stewart's Auto Parts,"Stewart's Auto Parts, Inc.",5,"Morgan Brook, Farmington Regional Basin ",,1058,5015,N,SW-1,5/1/12,4/22/12,8,N,0.7,6,6.51,25,2.5,0.06,0.35,0.025,0.0025,0.761,0.001,78.30%,35.40%,18,71,0.00%,1.73,0.0001,0.005, 
D,"S. Camerota & Sons, Inc.",Camerota Truck Parts,49,Freshwater Brook/CT Main Stem Regional Basin,,1062,5015,N,SW-1,3/28/12,3/2/12,26,N,,,,,,,,,,,,,,,,,2.7,0.0001,1.53,
D,"S. Camerota & Sons, Inc.",Camerota Truck Parts,49,Freshwater Brook/CT Main Stem Regional Basin,,1062,5015,N,SW-1,5/1/12,4/22/12,9,N,0.7,6.07,6.7,18,9.5,0.05,0.58,0.14,0.029,0.053,0.005,,,,,,0.531,0.0001,0.233,
D,"S. Camerota & Sons, Inc.",Camerota Truck Parts,49,Freshwater Brook/CT Main Stem Regional Basin,,1062,5015,N,SW-1,9/18/12,9/8/12,10,N,,,,,,,,,,,,,,,,,3.25,0.0003,1.51,
D,Tom's Foreign Auto Parts,Tom's Foreign Auto Parts,151,"Naugatuck River, Naugatuck Regional Basin",,1126,5015,Y,SW-1,3/31/12,3/24/12,7,N,,,,,,,,,,,,,,,,,0.09,0.0001,0.03,
D,Tom's Foreign Auto Parts,Tom's Foreign Auto Parts,151,"Naugatuck River, Naugatuck Regional Basin",,1126,5015,Y,SW-1,6/22/12,6/13/12,9,N,4.9,5.4,4.89,26.9,51,0.12,0.94,0.46,0.02,0.89,0.02,,,,,,1.91,0.0001,1.5,
D,Yales Auto Salvage ,Yales Auto Salvage,86,,,1162,5015,N,Outfall Location One,10/19/11,10/13/11,6,N,2.8,,7.02,110,430,0.44,1.7,0.12,0.374,0.927,1.7,85.58%,70.71%,12,47,0.00%,27.7,0.0001,13.8,
D,Yales Auto Salvage ,Yales Auto Salvage,86,,,1162,5015,N,Outfall Location One,3/28/12,,,N,0.7,,6.78,24,170,0.22,0.82,0.03,0.248,0.716,1.05,100.00%,100.00%,28,44,100.00%,,,,
D,Yales Auto Salvage ,Yales Auto Salvage,86,,,1162,5015,N,Outfall Location One,5/1/12,,,N,0.7,,6.86,32,370,0.24,0.98,0.03,0.21,0.558,0.923,70.70%,70.70%,10,34,100.00%,16.2,0.0001,8.1,
D,Auto Parts Depot,Auto Parts Depot,64,CT River Tributary,4000-26-1,1169,5015,N,Outfall Location One,5/1/12,,>72 hours,N,12,,8.08,1500,2700,1.7,2.2,0.17,1.7,11,7.6,100.00%,100.00%,240,273,100.00%,110,0.0002,22,
D,Boyd's Used Auto Parts,Boyd's Used Auto Parts,104,"Shetucket River, Shetucket Regional Basin",,1253,5015,N,SW-1,8/10/12,8/5/12,5,N,3.6,5.32,5.29,300,30,0.04,3.84,0.12,0.032,0.063,0.015,,,,,,14.6,0.0001,0.401,3.6
D,Boyd's Used Auto Parts,Boyd's Used Auto Parts,104,"Shetucket River, Shetucket Regional Basin",,1253,5015,N,SW-2,8/10/12,8/5/12,5,N,3,5.32,6.07,8,16,0.01,1.92,0.04,0.005,0.078,0.003,,,,,,6.4,0.0001,0.144,3.6
D,"Terryville Auto Parts, Inc.","Terryville Auto Parts, Inc.",111,"Pequabuck River, Farmington Regional Basin",,1684,5015,Y,SW-2,3/28/12,3/3/12,25,N,,,,,,,,,,,,,,,,,0.01,0.0001,0.21,
