Sector,name,site_name,town,rwater,Basin,GSI,SIC,Impaired,samp_location,samp_date,prev_storm,days_last_storm,ice,o_n_g,rain_ph,samp_ph,cod,tss,tp,tkn,no3,tot_copper,tot_zinc,tot_lead,24_hr_lc50,48_hr_lc50,hardness,conduct,per_sur,iron
F,PSEG Power Connecticut LLC,New Haven Harbor Station,93,New Haven Harbor,,1600,4911,Y,DSN 002,10/13/11,10/5/11,8,N,0.5,6.87,7.34,7.5,12,0.05,1.28,1.28,0.007,1.604,0.001,100.00%,100.00%,459,3.85,90.00%,0.4
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 005,11/10/11,10/30/11,11,N,1.7,6.7,7.8,86.5,27,3.45,48,2.2,0.056,0.296,0.003,100%,100%,74,586,100.00%,0.269
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 007A,11/10/11,10/30/11,11,N,1,6.7,7.3,11.1,6.7,0.5,1.4,0.43,0.009,0.208,0.0025,100%,70.70%,10,62,0.00%,0.297
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 009,11/10/11,10/30/11,11,N,0.5,6.7,7.2,9.1,39.8,0.31,0.84,0.86,0.011,0.231,0.0025,100%,100%,238,2210,100.00%,2.32
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 011,11/10/11,10/30/11,11,N,0.5,6.7,7.5,28.8,23.5,0.32,0.84,0.38,0.005,0.034,0.0025,100%,100%,134,496,100.00%,3.45
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 012,11/10/11,10/30/11,11,N,3.8,6.7,7.2,63.5,61,0.41,4.3,0.59,0.015,0.275,0.008,100%,82.00%,16,114,30.00%,2.14
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 012A,11/10/11,10/30/11,11,N,1.3,6.7,7.5,23.5,16,0.29,2.9,0.11,0.006,0.041,0.0025,100%,100%,10,38,100.00%,0.553
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 015,11/10/11,10/30/11,11,N,2.8,6.7,7.2,36.7,24.2,0.58,4.8,0.25,0.016,0.096,0.0025,100%,100%,10,43,100.00%,0.83
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 016,11/10/11,10/30/11,11,N,0.5,6.7,7.5,1,32.8,1.09,5.2,0.71,0.022,0.191,0.012,100%,100%,24,159,100.00%,1.93
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 020A,11/10/11,10/30/11,11,N,0.5,6.7,8.3,74,13.3,0.04,0.05,0.67,0.007,0.005,0.0025,100%,100%,14,156,100.00%,1.7
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 022,11/10/11,10/30/11,11,N,0.5,6.7,7.2,29.4,16.2,0.16,1.9,0.49,0.006,0.878,0.0025,77.50%,24.10%,10,52,0.00%,0.245
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 024,11/10/11,10/30/11,11,N,6.2,6.7,7,50.4,53.2,0.12,0.61,0.34,0.018,0.062,0.0025,100%,100%,8,106,100.00%,2.08
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 027,11/10/11,10/30/11,11,N,0.5,6.7,7,49.8,74.2,0.83,3.3,0.57,0.012,0.557,0.005,100%,77.10%,34,200,20.00%,2.71
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 030,11/10/11,10/30/11,11,N,0.5,6.7,7.7,8.5,7.5,0.08,0.3,0.13,0.0025,0.139,0.0025,100%,72.00%,10,24,5.00%,0.352
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 032,11/10/11,10/30/11,11,N,0.5,6.7,7.7,31.4,3.7,0.24,1.4,0.19,0.009,0.039,0.0025,100%,100%,16,65,100.00%,0.167
F,Milford Power Company LLC,Milford Power Company LLC,84,Housatonic River,,1726,4911,,DIS002,10/19/11,10/13/11,6,N,1,7.5,7.4,38,45,0.16,0.25,0.15,0.022,0.038,0.0072,100%,100%,10,88,100.00%,5.6
F,"AES Thames, LLC","AES Thames, LLC",86,Thames River,,805,4931,,Storm Drain Behind Security,11/16/11,11/10/11,6,N,4,6.99,7.01,22.8,18,0.07,0.87,0.28,0.005,0.24,0.01,,,,,,0.45
F,"AES Thames, LLC","AES Thames, LLC",86,Thames River,,805,4931,,Generation Bldg Roof Drain DSN 002,11/16/11,11/10/11,6,N,2.4,7.07,7.06,35.9,9,0.03,1.03,1.6,0.05,0.89,0.01,,,,,,1.15
F,"AES Thames, LLC","AES Thames, LLC",86,Thames River,,805,4931,,Roof Drain #1 DSN 003 Pipe 1,11/16/11,11/10/11,6,N,3.9,6.83,6.81,14.3,0.5,0.05,0.49,0.29,0.005,0.17,0.01,,,,,,0.69
F,"AES Thames, LLC","AES Thames, LLC",86,Thames River,,805,4931,,Roof Drain #4 DSN 003 Pipe 4,11/16/11,11/10/11,6,N,2.4,6.91,6.92,24.8,25,0.03,0.42,0.1,0.01,0.07,0.01,,,,,,2.72
F,Middletown Power LLC,Middletown Station,83,CT River,,1428,4911,Y,DSN-018-1A,10/19/11,10/14/11,5,N,0.7,5.2,6.7,5,2.5,0.02,0.13,0.01,0.002,0.01,0.001,100%,100%,10,49,100.00%,0.065
F,Middletown Power LLC,Middletown Station,83,CT River,,1428,4911,Y,DSN-013-1,10/19/11,10/14/11,5,N,0.7,5.2,6.9,15,2.5,0.03,0.3,0.17,0.004,0.054,0.001,100%,100%,6,31,100.00%,0.831
F,Middletown Power LLC,Middletown Station,83,CT River,,1428,4911,Y,DSN-006-1,10/19/11,10/14/11,5,N,0.7,5.2,6.2,35,2.5,0.04,0.51,0.14,0.042,0.463,0.01,17.70%,13.40%,22,75,0.00%,0.487
F,Middletown Power LLC,Middletown Station,83,CT River,,1428,4911,Y,DSN-004-1,10/19/11,10/14/11,5,N,0.7,5.2,7.9,13,2.5,0.29,0.31,0.05,0.001,0.003,0.001,100%,100%,74,402,100.00%,0.031
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S04,11/23/11,11/16/11,7,N,0.5,6.05,6.63,32.1,52,0.06,0.84,0.15,0.016,0.123,0.005,100%,100%,5.7,19,100.00%,0.53
