Sector,name,site_name,town,rwater,Basin,GSI,SIC,Impaired,samp_location,samp_date,prev_storm,days_last_storm,ice,o_n_g,rain_ph,samp_ph,cod,tss,tp,tkn,no3,tot_copper,tot_zinc,tot_lead,24_hr_lc50,48_hr_lc50,hardness,conduct,per_sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,State of CT DOT,Waterbury-Oxford Airport,108,Little River,,000917,4581,N,WO-B (BB37736),1/27/12,1/23/12,,Y,0.70,4.6,7.14,13,23,0.005,0.510,0.820,0.003,0.209,0.001,100.00%,100.00%,10,46,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,State of CT DOT,Waterbury-Oxford Airport,108,Little River,,000917,4581,N,WO-B (BB37737),1/26/12,1/23/12,,Y,0.70,4.61,6.64,26,20,0.110,0.920,0.210,0.003,0.217,0.001,100.00%,100.00%,30,1136,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,State of CT DOT,Waterbury-Oxford Airport,108,Little River,,000917,4581,N,WO-B (BB37738),1/27/12,1/23/12,,Y,0.70,4.61,7.18,15,7,0.020,0.540,0.380,0.003,0.011,0.001,100.00%,100.00%,30,106,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,State of CT DOT,Groton-NewLondon Airport,059,"LIS, SE Shore Regional District",,000938,4581,N,DSN001(BC63283),9/4/12,8/18/12,,N,12.00,5.6,5.61,140,84,0.980,5.650,1.940,0.045,1.440,0.006,41.10%,15.80%,22,91,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,State of CT DOT,Groton-NewLondon Airport,059,"LIS, SE Shore Regional District",,000938,4581,N,DSN002(BC63284),9/4/12,8/18/12,,N,0.70,5.6,6.3,41,96,0.340,1.570,0.990,0.044,0.202,0.005,43.10%,36.10%,8,70,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,State of CT DOT,Groton-NewLondon Airport,059,"LIS, SE Shore Regional District",,000938,4581,Y,DSN003(BC63285),9/4/12,8/18/12,,N,0.70,5.6,7.17,430,15,0.070,0.880,0.620,0.011,0.050,0.011,35.40%,35.40%,2700,22700,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,State of CT DOT,Groton-NewLondon Airport,059,"LIS, SE Shore Regional District",,000938,4581,Y,DSN004(BC63286),9/4/12,8/18/12,,N,0.70,5.6,6.98,55,15,0.050,2.580,2.050,0.010,0.070,0.001,100.00%,100.00%,48,167,95.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,State of CT DOT,Windham Airport,163,pond,Natchaug Regional Basin,000918,4581,N,DSN001(BC63239),9/4/12,9/1/12,,N,0.70,6.52,6.47,22,29,0.150,0.550,0.110,0.005,0.046,0.003,100.00%,100.00%,4,41,95.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,State of CT DOT,Brainard Airport,064,CT River Basin,,000915,4581,Y,DSN001(BC69760),9/18/12,9/8/12,,N,0.70,5.34,7.29,51,5,0.390,1.200,0.560,0.003,0.064,0.003,100.00%,100.00%,16,51,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,State of CT DOT,Brainard Airport,064,CT River Basin,,000915,4581,N,DSN002(BC69761),9/18/12,9/8/12,,N,0.70,5.34,6.51,120,22,0.270,4.300,1.360,0.036,0.222,0.014,100.00%,100.00%,46,129,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
