GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
0400000US13,13,Georgia,0400000US13,13,Georgia,Georgia,18.8,0.2
0400000US13,13,Georgia,0500000US13001,13001,Georgia - Appling County,Appling County,22.5,2.6
0400000US13,13,Georgia,0500000US13003,13003,Georgia - Atkinson County,Atkinson County,32.5,3.2
0400000US13,13,Georgia,0500000US13005,13005,Georgia - Bacon County,Bacon County,24.6,3.9
0400000US13,13,Georgia,0500000US13007,13007,Georgia - Baker County,Baker County,21.5,5.4
0400000US13,13,Georgia,0500000US13009,13009,Georgia - Baldwin County,Baldwin County,15.4,2.1
0400000US13,13,Georgia,0500000US13011,13011,Georgia - Banks County,Banks County,18.0,2.2
0400000US13,13,Georgia,0500000US13013,13013,Georgia - Barrow County,Barrow County,20.0,1.5
0400000US13,13,Georgia,0500000US13015,13015,Georgia - Bartow County,Bartow County,18.3,1.6
0400000US13,13,Georgia,0500000US13017,13017,Georgia - Ben Hill County,Ben Hill County,20.6,2.6
0400000US13,13,Georgia,0500000US13019,13019,Georgia - Berrien County,Berrien County,23.3,2.4
0400000US13,13,Georgia,0500000US13021,13021,Georgia - Bibb County,Bibb County,17.2,0.8
0400000US13,13,Georgia,0500000US13023,13023,Georgia - Bleckley County,Bleckley County,12.5,2.9
0400000US13,13,Georgia,0500000US13025,13025,Georgia - Brantley County,Brantley County,27.9,3.6
0400000US13,13,Georgia,0500000US13027,13027,Georgia - Brooks County,Brooks County,26.7,3.0
0400000US13,13,Georgia,0500000US13029,13029,Georgia - Bryan County,Bryan County,14.9,2.6
0400000US13,13,Georgia,0500000US13031,13031,Georgia - Bulloch County,Bulloch County,18.6,1.3
0400000US13,13,Georgia,0500000US13033,13033,Georgia - Burke County,Burke County,17.0,2.3
0400000US13,13,Georgia,0500000US13035,13035,Georgia - Butts County,Butts County,17.9,2.4
0400000US13,13,Georgia,0500000US13037,13037,Georgia - Calhoun County,Calhoun County,25.7,3.9
0400000US13,13,Georgia,0500000US13039,13039,Georgia - Camden County,Camden County,14.2,1.9
0400000US13,13,Georgia,0500000US13043,13043,Georgia - Candler County,Candler County,31.8,4.2
0400000US13,13,Georgia,0500000US13045,13045,Georgia - Carroll County,Carroll County,18.1,1.3
0400000US13,13,Georgia,0500000US13047,13047,Georgia - Catoosa County,Catoosa County,15.7,1.6
0400000US13,13,Georgia,0500000US13049,13049,Georgia - Charlton County,Charlton County,24.7,4.6
0400000US13,13,Georgia,0500000US13051,13051,Georgia - Chatham County,Chatham County,19.0,0.8
0400000US13,13,Georgia,0500000US13053,13053,Georgia - Chattahoochee County,Chattahoochee County,12.1,2.7
0400000US13,13,Georgia,0500000US13055,13055,Georgia - Chattooga County,Chattooga County,19.4,2.3
0400000US13,13,Georgia,0500000US13057,13057,Georgia - Cherokee County,Cherokee County,14.7,0.8
0400000US13,13,Georgia,0500000US13059,13059,Georgia - Clarke County,Clarke County,17.7,0.9
0400000US13,13,Georgia,0500000US13061,13061,Georgia - Clay County,Clay County,22.1,5.4
0400000US13,13,Georgia,0500000US13063,13063,Georgia - Clayton County,Clayton County,26.1,0.8
0400000US13,13,Georgia,0500000US13065,13065,Georgia - Clinch County,Clinch County,19.0,3.9
0400000US13,13,Georgia,0500000US13067,13067,Georgia - Cobb County,Cobb County,17.7,0.5
0400000US13,13,Georgia,0500000US13069,13069,Georgia - Coffee County,Coffee County,25.2,2.2
0400000US13,13,Georgia,0500000US13071,13071,Georgia - Colquitt County,Colquitt County,27.0,2.2
0400000US13,13,Georgia,0500000US13073,13073,Georgia - Columbia County,Columbia County,12.5,1.2
0400000US13,13,Georgia,0500000US13075,13075,Georgia - Cook County,Cook County,27.2,3.3
0400000US13,13,Georgia,0500000US13077,13077,Georgia - Coweta County,Coweta County,13.7,1.3
0400000US13,13,Georgia,0500000US13079,13079,Georgia - Crawford County,Crawford County,19.3,3.4
0400000US13,13,Georgia,0500000US13081,13081,Georgia - Crisp County,Crisp County,20.5,2.3
0400000US13,13,Georgia,0500000US13083,13083,Georgia - Dade County,Dade County,16.7,2.6
0400000US13,13,Georgia,0500000US13085,13085,Georgia - Dawson County,Dawson County,17.4,2.8
0400000US13,13,Georgia,0500000US13087,13087,Georgia - Decatur County,Decatur County,23.3,2.3
