Town,temp
Ansonia,4
Barkhamsted,5
Berlin,1
Bethany,5
Bolton,5
Bozrah,5
Branford,5
Bridgeport,1
Bristol,2
Brookfield,5
Canterbury,4
Canton,5
Chaplin,5
Cheshire,5
Clinton,4
Colchester,4
Columbia,5
Coventry,5
Cromwell,5
Danbury,5
Darien,1
Deep River,5
Derby,5
Durham,5
East Granby,5
East Hampton,5
East Hartford,5
East Haven,5
East Lyme,1
East Windsor,5
Ellington,5
Enfield,4
Essex,1
Fairfield,1
Farmington,5
Franklin,1
Glastonbury,5
Goshen,5
Greenwich,5
Griswold,5
Groton,1
Guilford,4
Haddam,5
Hamden,5
Hampton,5
Hartford,1
Hartland,4
Harwinton,5
Kent,5
Killingly,4
Ledyard,5
Lisbon,5
Lyme,5
Madison,5
Manchester,5
Mansfield,5
Marlborough,5
Meriden,5
Middlefield,5
Middletown,5
Milford,1
Montville,1
Morris,5
Naugatuck,2
New Britain,5
New Canaan,5
New Hartford,4
New Haven,1
New London,1
New Milford,5
Newington,5
Newtown,4
North Branford,2
North Canaan,5
North Haven,4
North Stonington,5
Norwalk,1
Norwich,1
Old Saybrook,4
Orange,4
Oxford,5
Plainfield,4
Plainville,5
Plymouth,5
Portland,5
Preston,1
Prospect,5
Putnam,5
Rocky Hill,5
Salem,5
Salisbury,3
Seymour,4
Shelton,5
Simsbury,3
Somers,3
South Windsor,5
Southington,5
Sprague,5
Stafford,2
Stamford,1
Stonington,1
Stratford,1
Suffield,5
Thomaston,1
Thompson,5
Torrington,5
Trumbull,5
Vernon,4
Voluntown,5
Wallingford,5
Washington,5
Waterbury,4
Waterford,4
Watertown,3
West Hartford,4
West Haven,5
Westbrook,1
Westport,3
Wilton,5
Winchester,4
Windham,3
Windsor,5
Windsor Locks,5
Wolcott,5
Woodbridge,5
Woodbury,5
Woodstock,5
