BMI Percentile,Percepted Weight Category
62.1,Underweight
7.8,Underweight
66.5,Underweight
87.9,Underweight
31.3,Underweight
95.1,Underweight
45.3,Underweight
86.5,Underweight
97.1,Underweight
52,Normal
89.9,Normal
83.2,Normal
76.1,Normal
48.4,Normal
11.6,Normal
50.7,Normal
10.7,Normal
85.9,Normal
51.6,Normal
31,Normal
98.9,Normal
92.7,Normal
54.6,Normal
94.2,Normal
74.7,Normal
40.5,Normal
49.7,Normal
31.2,Normal
49.5,Normal
48.5,Normal
95.3,Normal
21.9,Normal
33.5,Normal
28.7,Normal
60.3,Normal
29.4,Normal
84.2,Normal
63.4,Normal
65.4,Normal
89.5,Normal
74.4,Normal
78.3,Normal
39.9,Normal
84.4,Normal
36.5,Normal
55.7,Normal
63.8,Normal
97.1,Normal
54.2,Normal
23.5,Normal
42.5,Normal
77.4,Normal
32,Normal
85.8,Normal
13.5,Normal
80.3,Normal
68.6,Normal
32.8,Normal
76.6,Normal
70.2,Normal
50,Normal
14.2,Normal
66.7,Normal
76.7,Normal
46.3,Normal
91.3,Normal
65,Normal
46.1,Normal
42,Normal
50,Normal
95.7,Normal
96.2,Normal
90.4,Normal
16.6,Normal
64.9,Normal
59.9,Normal
89.1,Normal
90.2,Normal
12.5,Normal
26.4,Normal
65.5,Normal
76.5,Normal
81.5,Normal
94.6,Normal
72.5,Normal
52.6,Normal
73,Normal
31.8,Normal
93.8,Normal
94.5,Normal
78.1,Normal
73,Normal
79.9,Normal
67.2,Normal
53.3,Normal
84.9,Normal
84.8,Normal
38.7,Normal
26.6,Normal
58.9,Normal
37.7,Normal
24.9,Normal
45.7,Normal
80,Normal
98.2,Normal
82.5,Normal
27.9,Normal
82.2,Normal
81.8,Normal
74.6,Normal
87.7,Normal
73.7,Normal
46.5,Normal
43.6,Normal
80,Normal
62.7,Normal
38.3,Normal
56.8,Normal
8.3,Normal
6.2,Normal
48.7,Normal
44.1,Normal
81.6,Normal
20.2,Normal
96.1,Normal
44,Normal
88,Normal
83.5,Normal
52.7,Normal
78.8,Normal
42.1,Normal
95.3,Normal
44.3,Normal
91.9,Normal
44,Normal
56.2,Normal
36.8,Normal
85.3,Normal
43.8,Normal
51.4,Normal
76,Normal
5,Normal
42.9,Normal
65.3,Normal
90.1,Normal
46,Normal
93.8,Normal
87.7,Normal
81.7,Normal
75.2,Normal
33.7,Normal
16.1,Normal
93,Normal
24.8,Normal
67.8,Normal
15.6,Normal
38.4,Normal
39.6,Normal
67.7,Normal
61.7,Normal
77.9,Normal
5.8,Normal
69.5,Normal
73.6,Normal
95.1,Normal
50.7,Normal
17,Normal
61.1,Normal
17.9,Normal
99.1,Normal
63.7,Normal
98.7,Normal
73.6,Normal
69.5,Normal
50.6,Normal
83.5,Normal
83.6,Normal
88.4,Normal
78.5,Normal
34.8,Normal
90.2,Normal
99.6,Normal
66,Normal
97.5,Normal
52,Normal
95.9,Normal
86.5,Normal
78.2,Normal
20.4,Normal
64.1,Normal
74.7,Normal
59.7,Normal
31.3,Normal
60.2,Normal
6,Normal
86.9,Normal
68.2,Normal
89,Normal
31.5,Normal
94.5,Normal
67.8,Normal
35.3,Normal
49.5,Normal
97.7,Normal
80.6,Normal
73.7,Normal
92.1,Normal
96.6,Normal
27.8,Normal
98.1,Normal
7.6,Normal
84.3,Normal
82.7,Normal
22.9,Normal
40.2,Normal
85.2,Normal
94.2,Normal
97.5,Normal
37.7,Normal
76.4,Normal
81.8,Normal
84.7,Normal
16.8,Normal
53.6,Normal
79.1,Normal
14.8,Normal
9.9,Normal
38.7,Normal
43.2,Normal
49.8,Normal
65.7,Normal
68.5,Normal
30.6,Normal
6.7,Normal
99.2,Normal
76.7,Normal
71.6,Normal
28,Normal
76.6,Normal
28.5,Normal
66.9,Normal
51.6,Normal
95.1,Normal
48.7,Normal
84.1,Normal
52.3,Normal
94.5,Normal
93.6,Normal
73.7,Normal
97.7,Normal
31.3,Normal
81.6,Normal
73.7,Normal
45.3,Normal
30.8,Normal
85.5,Normal
7.7,Normal
97.4,Normal
53.2,Normal
42.4,Normal
47.6,Normal
50.4,Normal
11.4,Normal
56.7,Normal
67.7,Normal
6.9,Normal
57.5,Normal
50.9,Normal
2.7,Normal
67,Normal
3.5,Normal
33.4,Normal
24.2,Normal
66.4,Normal
22.2,Normal
82.3,Normal
5.9,Normal
92.4,Normal
71.6,Normal
15.1,Normal
32.4,Normal
12.5,Normal
87.1,Normal
34.6,Normal
68,Normal
98.7,Normal
49.2,Normal
69.9,Normal
94.1,Normal
69.8,Normal
49.8,Normal
49.9,Normal
73.2,Normal
78.6,Normal
95.3,Normal
83.6,Normal
76.5,Normal
28.2,Normal
64.7,Normal
78.3,Normal
28.2,Normal
11,Normal
27.9,Normal
84.9,Normal
85.3,Normal
54.6,Normal
67.3,Normal
25.3,Normal
14.3,Normal
29.9,Normal
72.3,Normal
14,Normal
19.2,Normal
49.1,Normal
15.6,Normal
87.4,Normal
7.7,Normal
59.9,Normal
34,Normal
91.8,Overweight
73.7,Overweight
99.7,Overweight
90.6,Overweight
26.2,Overweight
99.9,Overweight
99.2,Overweight
97.7,Overweight
79.1,Overweight
59.7,Overweight
67.8,Overweight
93.1,Overweight
45.3,Overweight
21.4,Overweight
88.8,Overweight
95.2,Overweight
89.2,Overweight
99,Overweight
70.1,Overweight
80.2,Overweight
84.3,Overweight
64.1,Overweight
44.2,Overweight
89,Overweight
94.2,Overweight
97.4,Overweight
91.4,Overweight
59.8,Overweight
99.1,Overweight
47.8,Overweight
98.6,Overweight
99.9,Overweight
76.9,Overweight
57.2,Overweight
90.3,Overweight
91.1,Overweight
95.5,Overweight
91.7,Overweight
7.5,Overweight
98.6,Overweight
87.9,Overweight
95.5,Overweight
93.9,Overweight
91,Overweight
91.6,Overweight
27.3,Overweight
94.9,Overweight
96.7,Overweight
52.1,Overweight
98.9,Overweight
33.2,Overweight
86.2,Overweight
4.2,Overweight
63.5,Overweight
23,Overweight
83.6,Overweight
94.9,Overweight
53.6,Overweight
72.6,Overweight
81.8,Overweight
86.7,Overweight
96,Overweight
90.1,Overweight
43.1,Overweight
42.2,Overweight
98.6,Overweight
24.5,Overweight
0,Overweight
66.2,Overweight
99.6,Overweight
96.9,Overweight
58.2,Overweight
97.4,Overweight
73.4,Overweight
95.4,Overweight
97.7,Overweight
41.8,Overweight
82.1,Overweight
66.8,Overweight
98.4,Overweight
96.1,Overweight
74.5,Overweight
92.7,Overweight
36.8,Overweight
98,Overweight
95.2,Overweight
45.1,Overweight
95.2,Overweight
88.3,Overweight
83.7,Overweight
96.8,Overweight
84.6,Overweight
99.4,Overweight
99.7,Overweight
31.4,Overweight
3.7,Overweight
98.8,Overweight
98.2,Overweight
60.4,Overweight
93.5,Overweight
94.9,Overweight
84.8,Overweight
98.8,Overweight
93.2,Overweight
25.6,Overweight
94,Overweight
96.2,Overweight
24.9,Overweight
57,Overweight
53.1,Overweight
77.4,Overweight
99.1,Overweight
60.6,Overweight
42,Overweight
94.4,Overweight
75.2,Overweight
34.7,Overweight
86.8,Overweight
88.1,Overweight
51.1,Overweight
97.1,Overweight
32.6,Overweight
98.2,Overweight
62.1,Overweight
98.2,Overweight
76.3,Overweight
99.2,Overweight
96.6,Overweight
51.3,Overweight
37.2,Overweight
74.4,Overweight
97.7,Overweight
99.6,Overweight
16.6,Overweight
85.1,Overweight
71.9,Overweight
52.7,Overweight
99.3,Overweight
66.1,Overweight
15.1,Overweight
79.6,Overweight
99.1,Overweight
76,Overweight
95.8,Overweight
85.4,Overweight
90.6,Overweight
90.5,Overweight
92.2,Overweight
91.4,Overweight
95.6,Overweight
99.3,Overweight
16.3,Overweight
95.9,Overweight
98.6,Overweight
96.5,Overweight
97.7,Overweight
91.9,Overweight
96.2,Overweight
71.4,Overweight
79.6,Overweight
10.6,Overweight
96.7,Overweight
88.2,Overweight
99.4,Obese
99.3,Obese
98.8,Obese
99.3,Obese
96.2,Obese
99,Obese
96.9,Obese
97.4,Obese
97.3,Obese
98.8,Obese
97.8,Obese
18.3,Obese
94.5,Obese
98.8,Obese
99.4,Obese
97.1,Obese
98.3,Obese
99.2,Obese
99,Obese
99.4,Obese
88.3,Obese
97.5,Obese
97.1,Obese
98.7,Obese
99.6,Obese
99.7,Obese
95,Obese
93.1,Obese
98.6,Obese
98.7,Obese
98.6,Obese
99.1,Obese
99.1,Obese
59.4,Obese
99.5,Obese
96.5,Obese
83.3,Obese
98,Obese
92,Obese
99,Obese
